2025-10-15T20:33:12.566049+0530 | INFO | Chunked 0 documents from data/raw\sample_agri_data.csv | {}
2025-10-15T20:33:43.510615+0530 | INFO | Chunked 184 documents from data/raw\agricultural_production_2020_2023.csv | {}
2025-10-15T20:33:43.573402+0530 | INFO | Chunked 148 documents from data/raw\climate_data_2020_2023.csv | {}
2025-10-15T20:33:43.576656+0530 | WARNING | Missing required columns ['State', 'Year'] in data/raw\sample_agri_data.csv, skipping agricultural chunking | {}
2025-10-15T20:33:43.576920+0530 | INFO | Chunked 0 documents from data/raw\sample_agri_data.csv | {}
2025-10-15T20:33:45.224147+0530 | INFO | Vector store built | {}
2025-10-15T20:33:45.224664+0530 | INFO | Index built. Starting API... | {}
2025-10-15T20:35:31.636338+0530 | INFO | Chunked 184 documents from data/raw\agricultural_production_2020_2023.csv | {}
2025-10-15T20:35:31.811365+0530 | INFO | Chunked 148 documents from data/raw\climate_data_2020_2023.csv | {}
2025-10-15T20:35:31.819254+0530 | WARNING | Missing required columns ['State', 'Year'] in data/raw\sample_agri_data.csv, skipping agricultural chunking | {}
2025-10-15T20:35:31.819880+0530 | INFO | Chunked 0 documents from data/raw\sample_agri_data.csv | {}
2025-10-15T20:35:34.798237+0530 | INFO | Vector store built | {}
2025-10-15T20:35:34.799429+0530 | INFO | Index built. Starting API... | {}
2025-10-15T20:36:10.261774+0530 | INFO | Using Gemini 2.0 Flash LLM | {}
2025-10-15T20:36:28.474471+0530 | INFO | Retrieved agricultural data: 10 records | {}
2025-10-15T20:36:28.477254+0530 | INFO | Retrieved climate data: 9 records | {}
2025-10-15T20:36:28.502967+0530 | INFO | Combined dataset: 4 records | {}
2025-10-15T20:36:28.517412+0530 | INFO | Query using Gemini 2.0 Flash: Which district in Maharashtra has the highest rice | {}
2025-10-15T20:37:08.396156+0530 | INFO | Retrieved agricultural data: 10 records | {}
2025-10-15T20:37:08.397978+0530 | INFO | Retrieved climate data: 9 records | {}
2025-10-15T20:37:08.407913+0530 | INFO | Combined dataset: 6 records | {}
2025-10-15T20:37:08.419694+0530 | INFO | Query using Gemini 2.0 Flash: Compare rice production between Maharashtra and Ka | {}
2025-10-15T20:37:43.129712+0530 | INFO | Retrieved agricultural data: 10 records | {}
2025-10-15T20:37:43.131630+0530 | INFO | Retrieved climate data: 9 records | {}
2025-10-15T20:37:43.138914+0530 | INFO | Combined dataset: 2 records | {}
2025-10-15T20:37:43.145463+0530 | INFO | Query using Gemini 2.0 Flash: how the trend of wheat production in Punjab over t | {}
